 train         node      observed        predicted
     y           19    7.960000E+05     7.060558E+05
     y           17    2.890000E+05     3.708738E+05
     y           37    3.700000E+05     4.740929E+05
     y           32    3.760000E+05     5.728587E+05
     y           17    2.500000E+05     3.708738E+05
     y           25    1.170000E+06     6.117883E+05
     y           73    6.400000E+05     5.120566E+05
     y           17    3.120000E+05     3.708738E+05
     y           37    2.800000E+05     4.740929E+05
     y           37    2.920000E+05     4.740929E+05
     y           33    4.670000E+05     3.990938E+05
     y           17    2.000000E+05     3.708738E+05
     y           37    2.890000E+05     4.740929E+05
     y           37    3.350000E+05     4.740929E+05
     y           48    2.190000E+05     7.757435E+05
     y           37    3.160000E+05     4.740929E+05
     y           73    7.850000E+05     5.120566E+05
     y           19    7.250000E+05     7.060558E+05
     y           53    7.660000E+05     1.152055E+06
     y           53    2.395000E+06     1.152055E+06
     y           17    1.850000E+05     3.708738E+05
     y           17    3.810000E+05     3.708738E+05
     y           17    2.390000E+05     3.708738E+05
     y           53    6.850000E+05     1.152055E+06
     y           33    8.950000E+05     3.990938E+05
     y           73    5.390000E+05     5.120566E+05
     y           37    2.220000E+05     4.740929E+05
     y           25    5.980000E+05     6.117883E+05
     y           37    2.610000E+05     4.740929E+05
     y           25    7.790000E+05     6.117883E+05
     y           19    9.270000E+05     7.060558E+05
     y           32    4.400000E+05     5.728587E+05
     y           33    1.500000E+05     3.990938E+05
     y           73    7.880000E+05     5.120566E+05
     y           37    5.790000E+05     4.740929E+05
     y           32    1.500000E+05     5.728587E+05
     y           37    3.400000E+05     4.740929E+05
     y           48    2.395000E+06     7.757435E+05
     y           33    3.260000E+05     3.990938E+05
     y           48    8.270000E+05     7.757435E+05
     y           25    5.200000E+05     6.117883E+05
     y           48    4.780000E+05     7.757435E+05
     y           48    3.550000E+05     7.757435E+05
     y           37    2.900000E+05     4.740929E+05
     y            7    1.115000E+06     9.370035E+05
