 train       observed       predicted
 y     3.050000E+05     5.430100E+05
 y     1.131000E+06     1.053685E+06
 y     9.000000E+05     8.361004E+05
 y     7.950000E+05     7.320979E+05
 y     2.700000E+05     5.610876E+05
 y     2.390000E+05     4.025405E+05
 y     6.300000E+05     6.320406E+05
 y     1.700000E+06     1.153176E+06
 y     6.310000E+05     5.242121E+05
 y     3.000000E+05     4.892018E+05
 y     2.680000E+05     3.595814E+05
 y     7.000000E+05     8.474385E+05
 y     3.940000E+05     3.902870E+05
 y     3.230000E+05     3.987814E+05
 y     2.330000E+05     3.784113E+05
 y     3.330000E+05     3.332527E+05
 y     5.810000E+05     4.968813E+05
 y     1.100000E+06     9.341433E+05
 y     3.800000E+05     4.871828E+05
 y     2.570000E+05     3.147939E+05
 y     6.000000E+05     4.597612E+05
 y     7.500000E+05     5.768590E+05
 y     2.220000E+05     3.149657E+05
 y     4.300000E+05     6.133664E+05
